Codigo;Produto;Quantidade;Altura;Largura;Profundidade
1395;CEBOLINHA OLEO GM CHEVETTE/MONZA/KADETT/IPANEMA;9;5,5;4;4
1396;CEBOLINHA RE VW FUSCA/BRASILIA/KOMBI TODOS;12;5,5;4;4
1397;CEBOLINHA RE VW GOL/VOYAGE/SANTANA ../94 5 MARCHAS;15;5,5;4;3
1398;CEBOLINHA RE FIAT UNO/PREMIO/ELBA/FIORINO ../91;3;5,5;2,9;3
1399;CEBOLINHA RE FORD CORCEL/BELINA/PAMPA 5 MACHAS;2;11;2,9;3
1400;CEBOLINHA RE GM CHEVETTE/OPALA/MARAJO/D20;12;5,5;2,9;3
1401;CEBOLINHA FREIO VW GOL/PARATI/FUSCA      2 TERM.;21;11;5;5
1402;CEBOLINHA OLEO GM PERKINS DIESEL;6;5,5;4;4
1404;REGULADOR VOLT.GM CHEVETTE/OPALA 2 P.RETO   DELCO;18;6,5;2,2;6,3
1411;CEBOLINHA FREIO VW GOL/PARATI/SANTANA    2 TERM.;18;11;4;4
1446;BRACO LIMPADOR MERCEDES 77/88 3 LIMPADORES C.ALTA;3;60;5;5
1448;BENDIX PART.FIAT PALIO 1.0/FIORINO/UNO    9D MAREL;36;7,75;5,5;5,5
1472;CHAVE SETA UNIVERSAL       C/INTERRUPTOR P/LAMPEJO;3;21;6,2;6,2
1474;MANCAL ALTERNADOR GM MONZA/OPALA 84/.DELCO  TRASE.;1;15,708;15,708;15,708
1475;BENDIX PART.GM OMEGA 3.0 4.1/SILVERADO    9D BOSCH;2;7,75;5,5;5,5
1480;SENSOR PARTIDA FRIO GOL/VOYAGE/PARATI 1.6 CARBURAD;3;6;3,3;3,3
1498;REGULADOR VOLT.VW FUSCA/KOMBI/GOL BX        BOSCH;54;6,5;5,5;6,3
1499;REGULADOR VOLT.VW PASSAT/PARATI/SANTANA 65A BOSCH;75;6,5;5,5;6,3
1500;REGULADOR VOLT.FORD CORCEL/PAMPA 82/..      BOSCH;36;6,5;5,5;6,3
1501;REGULADOR VOLT.MERCEDES/AGRALE/TOYOTA   12V BOSCH;60;6,5;5,5;6,3
1502;REGULADOR VOLT.GM MONZA/KADETT FIAT UNO     BOSCH;174;6,5;5,5;6,3
1563;MANCAL ALTERNADOR MERCEDES 35A              TRASE.;3;15,708;15,708;15,708
1586;CEBOLINHA OLEO GM MONZA/KADETT 92/..EFI  3 TERM.;12;5,5;4;4
1614;REGULADOR VOLT.MERCEDES ONIBUS/CAMINHOES    BOSCH;42;7,8;5,5;7,8
1627;PLACA RET.GM ASTRA/CORSA/VECTRA/OMEGA      DELCO;3;11,6;5;9,1
1643;CHAVE LUZ FORD F1000/F4000/F100/F2000 82/..;6;17;6;6
1644;CHAVE GERAL UNIVERSAL (VEICULOS LEVES);21;6,85;5,9;6,7
1649;VENTOINHA ALTERNADOR MERCEDES/FORD/SCANIA/VOLVO;3;16,4;2,01;16,4
1650;MANCAL PART.GM D20 PERKINS FORD F1000   TRAS.BOSCH;36;28;13,8;20
1653;PLACA RET.GM OPALA/CHEVETTE                  DELCO;15;7,8;5,5;7,8
1654;REGULADOR VOLT.MERCEDES/SCANIA/VOLVO    24V BOSCH;12;6,5;5,5;6,3
1666;CEBOLAO RADIADOR FIAT/FORD/GM/VW      75º 2 TERM;327;6;3,3;3,3
1667;SENSOR TEMPERATURA GM MONZA 2.0 92/95      INJECAO;3;6;3,3;3,3
1668;SENSOR TEMPERATURA GM CORSA/VECTRA/ZAFIRA   INJECA;141;6;3,3;3,3
1669;SENSOR TEMPERATURA FORD ESCORT 2.0 XR3 93/..INJECA;4;6;3,3;3,3
1670;SENSOR TEMPERATURA VW GOL 1.6 1.8 CFI 94/.. INJECA;6;6;3,3;3,3
1672;SENSOR TEMPERATURA GM CORSA/CELTA/MERIVA    INJECA;147;6;3,3;3,3
1674;SENSOR TEMPERATURA FIAT PALIO 96/00 VW GOL  INJECA;84;6;3,3;3,3
1675;TERMOVALVULA COMANDO DE AR P/CARBURADOR VW TODOS;4;6;3,3;3,3
1676;SENSOR TEMPERATURA FIAT PALIO 1.0 1.5 96/.. INJECA;9;6;3,3;3,3
1677;SENSOR TEMPERATURA FIAT PALIO/SIENA 1.6 16V INJECA;3;6;3,3;3,3
1680;BENDIX PART.FIAT PALIO/SIENA/UNO         11D BOSCH;108;7,75;5,5;5,5
1681;BENDIX PART.FIAT PALIO/UNO/TEMPRA        11D BOSCH;18;7,75;5,5;5,5
1682;BENDIX PART.VW SANTANA MI 96/PARATI       9D BOSCH;48;7,75;5,5;5,5
1689;VALVULA TERMOSTATICA GM OPALA/CARAVAN 69/92 GASOLI;3;8;6,5;8
1691;VALVULA TERMOSTATICA FIAT UNO 1.0 1.3 1.5 ./96 GAS;3;8;6,5;8
1699;VALVULA TERMOSTATICA FORD ESCORT 1.6 ../86 ALCOOL;2;6,6;5,8;6,6
1700;VALVULA TERMOSTATICA VW GOL 1.0 1.6 CHT AE GASOLI.;3;6,6;5,8;6,6
1701;VALVULA TERMOSTATICA VW GOL 1.0 1.6 CHT AE ALCOOL;3;6,6;5,8;6,6
1702;VALVULA TERMOSTATICA FIAT PALIO 1.0 1.5;6;16,5;8;11
1703;VALVULA TERMOSTATICA FIAT PALIO 1.0 1.5 COMPLETA;3;16,5;8;11
1704;VALVULA TERMOSTATICA VW GOL 2.0 AP 16V 95/..;1;6,6;5,8;6,6
1705;VALVULA TERMOSTATICA VW GOL/SANTANA 1.8 2.0 ../85;3;6,6;5,8;6,6
1706;VALVULA TERMOSTATICA VW GOL 1.6 1.8 2.0 AP TODOS;27;6,6;5,8;6,6
1710;SENSOR TEMPERATURA VW GOL 1.0 92/95 LAMPADA PAINEL;3;6;3,3;3,3
1711;SENSOR TEMPERATURA VW GOL 1.6 AP (LAMPADA)  PAINEL;3;6;3,3;3,3
1712;SENSOR TEMPERATURA VW GOL 1.6 1.8 2.0 85/93 PAINEL;9;6;3,3;3,3
1713;SENSOR PARTIDA FRIO MONZA 83... ALCOOL;2;6;3,3;3,3
1715;SENSOR PARTIDA FRIO VW ...04/88 REFRIGERADO A AGUA;2;6;3,3;3,3
1717;SENSOR TEMPERATURA VW GOL/PARATI 94/..      PAINEL;33;6;3,3;3,3
1718;SENSOR TEMPERATURA GM OPALA/CARAVAN/D20     PAINEL;15;6;3,3;3,3
1719;SENSOR TEMPERATURA GM CORSA/VECTRA/S10      PAINEL;30;6;3,3;3,3
1720;SENSOR TEMPERATURA VW GOL/PARATI ../85      PAINEL;3;6;3,3;3,3
1721;SENSOR TEMPERATURA FIAT PALIO/SIENA/STRADA  PAINEL;21;6;3,3;3,3
1722;SENSOR TEMPERATURA FIAT UNO/PREMIO ../90    PAINEL;6;6;3,3;3,3
1723;SENSOR TEMPERATURA FORD ESCORT 1.3 1.6 ./89 PAINEL;3;6;3,3;3,3
1724;SENSOR TEMPERATURA VW GOL 1.0 1.6 1.8 AE    PAINEL;3;6;3,3;3,3
1725;SENSOR TEMPERATURA FORD PAMPA 1.8 (LAMPADA) PAINEL;3;6;3,3;3,3
1726;SENSOR TEMPERATURA FORD PAMPA 1.6 (LAMPADA) PAINEL;3;6;3,3;3,3
1727;SENSOR TEMPERATURA FIAT PALIO/UNO (LAMPADA) PAINEL;3;6;3,3;3,3
1728;SENSOR TEMPERATURA VW CAMINHOES 85/.. MWM   PAINEL;3;6;3,3;3,3
1729;SENSOR TEMPERATURA MERCEDES ../89 CURTO     PAINEL;3;6;3,3;3,3
1732;SENSOR TEMPERATURA MERCEDES 90/99  (ALARME) PAINEL;6;6,5;5;5
1736;CEBOLAO RADIADOR FIAT/FORD/GM/VW      87º 2 TERM;306;6;3,3;3,3
1740;CEBOLAO RADIADOR VW GOL/SANTANA AP C/AR     3 TERM;9;6;3,3;3,3
